RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SelectCountSerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime,SerialTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_191.c,1,191,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_191.c,1,191,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_192.c,1,192,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_192.c,1,192,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_193.c,1,193,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_193.c,1,193,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_194.c,1,194,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_194.c,1,194,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_195.c,1,195,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_195.c,1,195,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_196.c,1,196,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_196.c,1,196,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_197.c,1,197,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_197.c,1,197,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_198.c,1,198,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_198.c,1,198,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_199.c,1,199,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_199.c,1,199,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_200.c,1,200,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_200.c,1,200,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_300.c,1,300,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_300.c,1,300,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_400.c,1,400,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_400.c,1,400,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_500.c,1,500,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_500.c,1,500,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_600.c,1,600,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
